id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
63ee3c6a-bf16-4717-a629-feae867d3f1a,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 14:50:43,180.17113947868347,0.0129899146674188,0.0051195461989791,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
6c53c323-3885-455c-b792-1accbea0c148,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 15:15:52,70.17063093185425,0.004826519348896,0.0019022133262288,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
05d9ee8c-1c3a-4b8c-81b7-fbcf4399c819,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 15:18:42,120.16949725151062,0.008476585046716,0.0033407662688565,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
ba764c2a-5629-406f-8869-aa4c368493ad,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 15:25:55,170.1696925163269,0.0121532445669273,0.0047898002889837,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
c919158c-1665-4938-ac78-6ecd896cad5c,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 15:42:08,4160.187566280365,0.3327029931584885,0.131123905554644,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
0284106d-b06a-4802-951b-68fdaf44d612,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 17:08:05,30.17125558853149,0.0023497272316469,0.0009260674473549,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
0c53e614-2631-4e51-82ab-92167eb22bd5,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 17:13:16,4670.170256137848,0.370409601769163,0.1459847210204572,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
d3732143-b140-4cfb-8f8a-1761b781647f,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 18:31:34,390.1868031024933,0.0027672409916959,0.0010906167179242,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
3c099501-08b6-4b29-945f-9206b04e6222,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 18:38:02,90.17319130897522,0.0045116835540467,0.0017781311872702,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
646aa762-88c8-4812-8ce4-5f1a9b747b9d,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 18:52:21,10.191677570343018,0.0004865222389185,0.0001917466852358,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
336d0335-9593-423d-8a1f-d7e6b1c42689,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 19:16:41,10.185733556747437,0.0004862391274854,0.0001916351062071,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
0e75afeb-d2f5-4f7f-8f7f-52bb60198f45,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 20:07:25,21.13150691986084,0.0008303733592039,0.0003272642572093,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
e1591f97-cc5d-4816-8a76-d7beda7ac467,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 20:23:54,21.1772141456604,0.0008422611047915,0.0003319494198371,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
fe75a4e9-fbb0-4933-95d5-cd766a1b5e67,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 20:31:49,20.17238569259644,0.0010712046706177,0.0004221799711698,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
4c4df825-b9c2-4575-8118-10bd209a6e17,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 20:41:59,100.1742341518402,0.0070854480476117,0.0027924955281806,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
da99ca5a-b1ed-46f3-881f-ae14929965a8,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 20:45:14,170.172260761261,0.0124333595790829,0.0049001983772294,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
